branch_code,vessel_code,vessel_name,document_type_code,document_type_name,letter_number,issued_at,expires_at,is_permanent,validity_status,source_link,days_left,alert_status,processing_status
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S01,Nomor Izin Berusaha (NIB),0220205300738,2020-03-03,Permanent,True,permanent,DOC,,PERMANENT,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S02,Sertifikat Pemenuhan SPM,230/KPTS/DISHUB/2025,2025-03-10,2026-03-10,False,expired,DOC,-53,EXPIRED,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S03,Persetujuan pengoperasian kapal angkutan penyeberangan sebelumnya,229/KPTS/DISHUB/2025,2025-03-10,2030-03-10,False,active,DOC,1408,AKTIF,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S04,Sertifikat Kesehatan/Medical Certificate,621140516MC6625,2025-04-21,2027-04-27,False,active,DOC,360,AKTIF,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S05,Buku Pelaut/Seaman’s Book,F341512,2023-01-25,2025-03-12,False,expired,DOC,-416,EXPIRED,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S06,Sertifikat Ahli Nautika/Deck Officer,6202098512M35322,2022-02-25,Permanent,True,permanent,DOC,,PERMANENT,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S07,Sertifikat Keterampilan / Certificate of Proficiency :,47,,,False,unknown,47,,,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S08,a. Medical First Aid,00,2026-03-04,Permanent,True,permanent,47,,PERMANENT,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S09,b. Proficiency in Survival Craft and Rescue Boats,6202098512040422,2022-08-12,2027-08-12,False,active,DOC,467,AKTIF,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S10,c. Basic Safety Training,6202098512012416,2016-12-20,2021-12-20,False,expired,DOC,-1594,EXPIRED,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S11,e. Medical Care on Board Ship,6202098512082417,2017-04-27,Permanent,True,permanent,DOC,,PERMANENT,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S12,f. Advanced Fire Fighting,6202098512060120,2020-12-01,2025-12-01,False,expired,DOC,-152,EXPIRED,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S13,Sertifikat Pengukuhan,6202098512M35322,2022-02-25,,False,unknown,47,,,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S14,Surat Ukur Internasional (1969) / International Tonnage Certificate,174/TAA,2022-04-13,Permanent,True,permanent,DOC,,PERMANENT,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S15,Bukti Kepemilikan Kapal (Grosse Akte),97,2022-03-16,Permanent,True,permanent,DOC,,PERMANENT,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S16,Surat Laut (Certificate of Nationality),No. SKET-DJPD 67 TAHUN 2022,2022-03-01,Permanent,True,permanent,DOC,,PERMANENT,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S17,Sertifikat Keselamatan Kapal Penumpang (Passenger Ship Safety Certificate),00319-PB/D1.S-PSD/2025,2025-04-29,2025-07-28,False,expired,DOC,-278,EXPIRED,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S18,Sertifikat Internasional Pencegahan Pencemaran Oleh Minyak (International Oil Pollution Prevention Certificate),000393-PPD,2023-01-02,2027-04-06,False,active,DOC,339,AKTIF,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S19,Dokumen Penyesuaian Manajemen Keselamatan (Document Of Compliance),AP.402/3/5/BPTD.SUMSEL-2025,2025-03-06,2026-03-05,False,expired,https://drive.google.com/open?id=1oE66ooYh39gOlckCNyS11wgndxILkNU-,-58,EXPIRED,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S20,Sertifikat Manajemen Keselamatan (Interim Safety Management Certificate),00452-SMC,2023-09-15,2028-03-21,False,active,https://drive.google.com/file/d/1lNPSvPbXhsybMgGHPEcWYXyghPBvMIK-/view?usp=sharing,689,AKTIF,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S21,CLC,47,,,False,unknown,47,,,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S22,Wreck Removal,47,,,False,unknown,47,,,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S23,Surat Keterangan Susunan Perwira Deck dan Mesin (Dokumen Pengawakan Minimum),AP .402/ 3/5/BPTD.SUMSEL-2025,2025-03-06,2026-03-05,False,expired,DOC,-58,EXPIRED,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S24,Sertifikat Garis Muat Internasional (1966),017591,2022-10-18,2027-04-06,False,active,DOC,339,AKTIF,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S25,Sertifikat Klasifikasi lambung,055397,2022-10-18,2027-04-06,False,active,DOC,339,AKTIF,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S26,Sertifikat Klasifikasi Mesin,036268,2022-10-18,2027-04-06,False,active,DOC,339,AKTIF,confirmed
BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,S27,Izin Stasiun Radio Kapal Laut,AL.704/01/2318-IV/DV.2026,2026-04-09,2026-06-09,False,active,https://drive.google.com/file/d/1_CbaUPs3ajTyQI4ZPZT4k2YRoxrxToS9/view?usp=sharing,38,AKTIF,confirmed
