branch_code,branch_name,vessel_code,vessel_name,vessel_name_source,vessel_slot,operator,status
BANGKA,BANGKA,VESSEL_KMP_PUTERI_LEANPURI,KMP. PUTERI LEANPURI,1. KMP. PUTERI LEANPURI,1,ASDP,active
BANGKA,BANGKA,VESSEL_KMP_MENUMBING_RAYA,KMP. MENUMBING RAYA,02. KMP. MENUMBING RAYA,2,ASDP,active
BANGKA,BANGKA,VESSEL_KMP_MUTIS,KMP. MUTIS,03. KMP. MUTIS,3,ASDP,active
BANGKA,BANGKA,VESSEL_KMP_MADANI,KMP. MADANI,04. KMP. MADANI,4,ASDP,active
BANGKA,BANGKA,VESSEL_KMP_GORARE,KMP. GORARE,05. KMP. GORARE,5,ASDP,active
BANGKA,BANGKA,VESSEL_KMP_KUALA_BATE_II,KMP KUALA BATE II,06. KMP KUALA BATE II,6,ASDP,active
BANGKA,BANGKA,VESSEL_KMP_BELANAK,KMP BELANAK,07. KMP BELANAK,7,ASDP,active
BANGKA,BANGKA,VESSEL_KMP_BILI,KMP. BILI,08. KMP. BILI,8,ASDP,active
BATAM,BATAM,VESSEL_KMP_TIRUS_MERANTI,KMP. TIRUS MERANTI,01. KMP. TIRUS MERANTI,1,ASDP,active
BATAM,BATAM,VESSEL_KMP_TELUK_SINGKIL,KMP. TELUK SINGKIL,02. KMP. TELUK SINGKIL,2,ASDP,active
BATAM,BATAM,VESSEL_KMP_TANJUNG_BURANG,KMP. TANJUNG BURANG,03. KMP. TANJUNG BURANG,3,ASDP,active
BATAM,BATAM,VESSEL_TANDEMAND,TANDEMAND,04. TANDEMAND,4,ASDP,active
BATAM,BATAM,VESSEL_KMP_SENANGIN,KMP SENANGIN,05. KMP SENANGIN,5,ASDP,active
BATAM,BATAM,VESSEL_KMP_SEMBILANG,KMP. SEMBILANG,06. KMP. SEMBILANG,6,ASDP,active
BATAM,BATAM,VESSEL_KMP_PARAY,KMP. PARAY,07. KMP. PARAY,7,ASDP,active
